,country_name,year,FDI4,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,v2cacamps,v2caviol,v2cagenmob,v2cademmob,v2x_regime,v2x_neopat,v2xnp_client,v2xnp_regcorr,v2x_corr,v2x_execorr,v2x_pubcorr,v2x_rule,v2xcl_prpty,v2xcl_acjst,v2x_freexp,e_wbgi_cce,e_wbgi_gee,e_wbgi_pve,e_wbgi_rle,e_wbgi_rqe,e_wbgi_vae,e_gdp,e_gdppc,e_miinflat,e_total_fuel_income_pc,e_total_resources_income_pc
644,Honduras,1980,,0.177,0.077,0.137,0.12,0.056,-0.673,-1.388,-0.822,0.906,Closed Autocracy,0.846,0.886,0.826,0.838,0.835,0.856,0.155,0.734,0.227,0.428,,,,,,,1259.091,3.325,18.1,0.0,42.837
645,Haiti,1980,,0.147,0.034,0.05,0.042,0.043,1.837,2.083,-0.045,0.128,Closed Autocracy,0.968,0.824,0.934,0.871,0.938,0.74,0.043,0.416,0.202,0.057,,,,,,,1242.427,2.13,17.778,0.0,3.499
646,Jordan,1980,,0.127,0.118,0.056,0.118,0.155,-1.542,-0.754,-1.594,-1.086,Closed Autocracy,0.485,0.653,0.343,0.363,0.343,0.437,0.601,0.708,0.628,0.24,,,,,,,1268.367,5.238,11.111,0.0,0.0
647,Guyana,1980,,0.269,0.183,0.187,0.133,0.226,0.687,-0.482,-0.656,-1.245,Electoral Autocracy,0.632,0.59,0.688,0.53,0.832,0.635,0.462,0.878,0.76,0.462,,,,,,,320.276,3.883,,0.0,159.02
648,Iran,1980,,0.17,0.09,0.05,0.18,0.189,-0.174,0.631,1.114,0.692,Electoral Autocracy,0.719,0.31,0.693,0.669,0.65,0.473,0.259,0.524,0.141,0.123,,,,,,,23937.013,6.017,20.644,1297.935,1302.93
649,Uruguay,1980,,0.105,0.046,0.085,0.058,0.205,2.388,-0.266,-2.939,-1.423,Closed Autocracy,0.637,0.38,0.303,0.216,0.339,0.227,0.338,0.885,0.149,0.091,,,,,,,3196.427,10.308,63.475,0.0,0.0
650,Benin,1980,,0.107,0.09,0.048,0.111,0.139,0.334,-1.06,-1.063,0.426,Closed Autocracy,0.661,0.248,0.496,0.449,0.518,0.3,0.401,0.579,0.375,0.151,,,,,,,667.044,1.72,,0.0,0.0
651,Jamaica,1980,,0.506,0.396,0.322,0.382,0.39,-1.181,1.582,-1.543,-1.821,Electoral Democracy,0.234,0.654,0.186,0.205,0.182,0.242,0.813,0.76,0.731,0.742,,,,,,,1173.028,5.075,27.308,0.0,360.476
652,Kuwait,1980,,0.092,0.131,0.054,0.214,0.164,-0.477,-2.098,-0.451,-0.874,Closed Autocracy,0.41,0.539,0.518,0.376,0.562,0.338,0.642,0.666,0.81,0.501,,,,,,,7936.728,53.33,6.928,41662.14,41662.14
653,United Kingdom,1980,63014084973.579,0.814,0.732,0.582,0.668,0.658,-0.495,0.369,1.628,0.028,Liberal Democracy,0.07,0.093,0.03,0.033,0.027,0.022,0.979,0.887,0.992,0.859,,,,,,,128223.274,21.29,16.849,1259.232,1263.435
654,Guatemala,1980,,0.165,0.066,0.096,0.054,0.048,2.746,3.098,-0.808,-1.021,Electoral Autocracy,0.856,0.803,0.871,0.804,0.902,0.814,0.085,0.152,0.008,0.044,,,,,,,3552.881,4.864,10.667,24.221,24.916
655,Italy,1980,9710908113.91725,0.797,0.705,0.574,0.733,0.716,-0.696,-0.011,-0.433,0.095,Liberal Democracy,0.173,0.284,0.216,0.29,0.165,0.192,0.851,0.887,0.961,0.92,,,,,,,126345.927,21.047,21.8,56.846,60.066
656,Sri Lanka,1980,,0.526,0.342,0.278,0.306,0.346,0.395,1.495,-1.064,-0.811,Electoral Democracy,0.394,0.511,0.264,0.302,0.257,0.19,0.685,0.661,0.664,0.574,,,,,,,4319.981,2.715,26.145,0.0,0.0
657,Canada,1980,54203384605.4899,0.825,0.75,0.571,0.749,0.695,-1.823,-1.928,-0.993,-0.715,Liberal Democracy,0.053,0.097,0.035,0.048,0.046,0.031,0.975,0.837,0.928,0.939,,,,,,,73410.1,28.185,10.107,2522.113,3218.343
658,Nigeria,1980,,0.387,0.261,0.263,0.238,0.169,-1.119,0.831,-0.035,0.545,Electoral Autocracy,0.777,0.863,0.897,0.9,0.898,0.923,0.189,0.662,0.636,0.675,,,,,,,27443.25,3.449,9.97,941.347,942.977
659,Cameroon,1980,,0.164,0.082,0.101,0.039,0.115,0.589,0.646,-0.047,0.625,Electoral Autocracy,0.857,0.813,0.581,0.638,0.563,0.681,0.195,0.718,0.4,0.135,,,,,,,2262.018,2.414,9.552,216.435,216.513
660,Nicaragua,1980,,0.181,0.081,0.094,0.207,0.155,0.178,1.078,2.485,1.111,Closed Autocracy,0.706,0.278,0.497,0.553,0.473,0.55,0.351,0.424,0.399,0.521,,,,,,,1531.124,4.544,35.1,0.0,34.616
661,Mauritius,1980,,0.707,0.604,0.452,0.644,0.561,1.012,-1.558,1.557,1.272,Electoral Democracy,0.261,0.424,0.608,0.549,0.589,0.278,0.748,0.82,0.85,0.778,,,,,,,664.096,6.544,33.04,0.0,0.0
662,Denmark,1980,,0.908,0.883,0.702,0.865,0.87,-2.744,-1.962,0.527,-1.821,Liberal Democracy,0.006,0.029,0.002,0.002,0.003,0.001,0.999,0.935,0.997,0.992,,,,,,,13776.598,25.268,12.33,43.106,43.106
663,Mexico,1980,,0.302,0.133,0.169,0.176,0.155,-0.701,-0.201,0.752,1.806,Electoral Autocracy,0.856,0.83,0.857,0.824,0.826,0.77,0.247,0.759,0.358,0.663,,,,,,,87543.487,11.865,26.471,1015.417,1090.675
664,Solomon Islands,1980,,0.516,0.41,0.272,0.311,0.313,-2.424,-1.941,-2.538,-2.063,Electoral Democracy,0.272,0.416,0.145,0.283,0.102,0.206,0.826,0.708,0.78,0.798,,,,,,,59.935,2.448,,0.0,7.394
665,Costa Rica,1980,,0.848,0.772,0.578,0.766,0.712,-1.166,-0.929,1.122,-1.043,Electoral Democracy,0.101,0.346,0.19,0.285,0.14,0.153,0.923,0.906,0.838,0.982,,,,,,,2075.446,8.237,18.121,0.0,11.876
666,Venezuela,1980,,0.736,0.6,0.411,0.629,0.504,-2.906,-2.049,0.092,-0.705,Electoral Democracy,0.413,0.616,0.631,0.708,0.49,0.525,0.573,0.907,0.656,0.897,,,,,,,18903.741,12.029,21.355,5016.736,5077.66
667,Togo,1980,,0.088,0.052,0.055,0.028,0.134,-0.459,-0.003,-1.612,-1.562,Electoral Autocracy,0.951,0.817,0.879,0.676,0.913,0.402,0.139,0.697,0.294,0.155,,,,,,,555.85,1.918,12.307,0.0,0.0
668,Morocco,1980,,0.162,0.151,0.063,0.091,0.105,0.033,-1.02,-1.021,-0.144,Closed Autocracy,0.699,0.872,0.606,0.748,0.54,0.806,0.34,0.805,0.819,0.141,,,,,,,7166.352,3.469,9.408,5.067,31.882
669,Colombia,1980,1464000000.0,0.411,0.272,0.165,0.137,0.135,-0.16,2.678,0.234,1.395,Electoral Autocracy,0.461,0.804,0.525,0.517,0.502,0.421,0.511,0.52,0.334,0.371,,,,,,,20325.776,7.095,25.932,177.354,206.478
670,Syria,1980,,0.144,0.036,0.06,0.022,0.131,2.195,0.969,-1.332,-0.945,Electoral Autocracy,0.95,0.698,0.896,0.877,0.891,0.83,0.082,0.449,0.101,0.022,,,,,,,4079.824,4.585,19.296,628.009,628.009
671,Zimbabwe,1980,,0.301,0.219,0.184,0.216,0.173,0.684,0.544,1.692,1.228,Electoral Autocracy,0.509,0.534,0.466,0.474,0.43,0.195,0.656,0.291,0.752,0.435,,,,,,,2330.44,2.986,7.2,34.952,241.881
672,Trinidad and Tobago,1980,,0.674,0.559,0.378,0.506,0.469,-1.98,-1.236,-1.66,-1.049,Electoral Democracy,0.177,0.388,0.137,0.137,0.176,0.171,0.875,0.814,0.902,0.852,,,,,,,2211.854,18.789,17.47,6939.188,6939.188
673,Comoros,1980,,0.229,0.103,0.132,0.16,0.166,0.593,0.734,-1.775,-1.291,Closed Autocracy,0.81,0.77,0.694,0.713,0.664,0.612,0.255,0.757,0.369,0.432,,,,,,,82.92,2.337,,0.0,0.0
674,South Africa,1980,16465456787.727,0.166,0.093,0.131,0.137,0.033,2.927,2.211,2.276,3.364,Electoral Autocracy,0.584,0.468,0.351,0.422,0.347,0.555,0.407,0.141,0.236,0.138,,,,,,,29122.633,9.365,14.2,334.468,1764.091
675,Nepal,1980,,0.098,0.096,0.072,0.07,0.07,1.832,0.118,-0.889,-0.299,Closed Autocracy,0.78,0.83,0.885,0.853,0.85,0.684,0.23,0.394,0.222,0.271,,,,,,,1419.903,0.909,14.684,0.044,0.044
676,Tanzania,1980,,0.249,0.242,0.084,0.178,0.267,-1.861,-2.15,-1.556,-1.881,Electoral Autocracy,0.211,0.268,0.094,0.181,0.066,0.054,0.829,0.152,0.701,0.53,,,,,,,3053.641,1.536,30.197,0.004,0.055
677,Chile,1980,,0.074,0.043,0.034,0.022,0.036,2.876,1.491,-1.819,-0.436,Closed Autocracy,0.635,0.32,0.433,0.285,0.467,0.225,0.373,0.6,0.168,0.039,,,,,,,9583.812,7.968,31.238,125.847,844.665
678,Chad,1980,,0.091,0.029,0.051,0.022,0.078,1.35,1.767,-0.169,-0.441,Closed Autocracy,0.919,0.715,0.87,0.657,0.932,0.817,0.113,0.698,0.084,0.176,,,,,,,424.084,0.875,,0.0,0.0
679,Netherlands,1980,19167410199.1864,0.859,0.807,0.582,0.792,0.776,-2.055,-1.577,1.451,-2.009,Liberal Democracy,0.026,0.023,0.018,0.019,0.024,0.022,0.984,0.936,0.968,0.964,,,,,,,37961.003,25.133,6.547,1025.149,1025.149
680,Central African Republic,1980,,0.165,0.075,0.072,0.092,0.16,0.353,0.329,0.249,0.237,Closed Autocracy,0.859,0.753,0.876,0.885,0.868,0.869,0.165,0.313,0.357,0.492,,,,,,,297.234,1.25,13.3,0.0,1.33
681,Cape Verde,1980,,0.17,0.168,0.086,0.208,0.212,-0.85,-0.598,-2.031,-1.714,Electoral Autocracy,0.264,0.265,0.208,0.226,0.212,0.304,0.788,0.44,0.628,0.673,,,,,,,50.018,1.63,,,
682,Zambia,1980,,0.192,0.145,0.152,0.154,0.189,-0.17,0.806,-0.098,-0.779,Electoral Autocracy,0.475,0.421,0.234,0.215,0.244,0.185,0.692,0.38,0.543,0.325,,,,,,,1160.018,1.873,11.729,7.791,715.056
683,Thailand,1980,,0.256,0.191,0.085,0.237,0.129,0.089,1.283,-0.414,-0.448,Electoral Autocracy,0.716,0.942,0.893,0.805,0.895,0.777,0.353,0.72,0.516,0.403,,,,,,,18272.746,3.657,19.7,2.551,39.279
684,Burma/Myanmar,1980,,0.137,0.027,0.065,0.047,0.062,2.428,1.386,-0.31,-1.39,Closed Autocracy,0.953,0.758,0.888,0.833,0.913,0.781,0.071,0.054,0.135,0.059,,,,,,,3431.852,0.98,,31.778,36.865
685,Botswana,1980,,0.636,0.518,0.376,0.524,0.384,-2.679,-2.824,-2.182,-1.701,Electoral Democracy,0.175,0.168,0.169,0.193,0.159,0.146,0.895,0.666,0.788,0.849,,,,,,,280.736,2.938,13.632,30.263,494.64
686,Iceland,1980,,0.853,0.751,0.606,0.682,0.765,,-1.522,,,Liberal Democracy,0.057,0.158,0.015,0.021,0.02,0.019,0.97,0.966,0.903,0.907,,,,,,,678.217,27.731,58.548,,
687,Mauritania,1980,,0.095,0.043,0.032,0.016,0.094,0.16,-0.599,1.101,-1.292,Closed Autocracy,0.918,0.763,0.504,0.694,0.377,0.755,0.174,0.446,0.525,0.181,,,,,,,489.262,2.852,,0.0,309.367
688,Liberia,1980,,0.123,0.062,0.097,0.166,0.112,0.933,0.995,1.127,0.712,Closed Autocracy,0.863,0.606,0.899,0.873,0.877,0.783,0.1,0.464,0.231,0.118,,,,,,,419.308,2.105,14.69,0.0,552.394
689,Malawi,1980,,0.168,0.08,0.056,0.049,0.121,-1.042,-0.526,-1.429,-1.485,Electoral Autocracy,0.485,0.078,0.131,0.136,0.162,0.072,0.618,0.281,0.383,0.022,,,,,,,801.393,1.191,,0.0,0.0
690,Spain,1980,,0.868,0.792,0.606,0.775,0.76,-1.693,1.908,1.653,0.709,Electoral Democracy,0.029,0.07,0.021,0.048,0.015,0.042,0.986,0.956,0.919,0.922,,,,,,,66476.514,16.452,15.536,91.464,147.126
691,France,1980,,0.857,0.779,0.616,0.766,0.718,0.179,-0.026,-0.193,-0.691,Liberal Democracy,0.078,0.058,0.08,0.061,0.099,0.038,0.961,0.948,0.933,0.946,,,,,,,145927.829,25.048,13.057,68.438,90.496
692,Ethiopia,1980,,0.072,0.015,0.015,0.028,0.121,1.737,1.79,0.149,-0.807,Closed Autocracy,0.882,0.386,0.462,0.577,0.427,0.652,0.155,0.034,0.171,0.056,,,,,,,3058.082,0.824,,0.0,0.37
693,Bolivia,1980,,0.127,0.033,0.043,0.029,0.108,2.144,1.21,0.959,1.33,Electoral Autocracy,0.933,0.7,0.78,0.836,0.777,0.879,0.049,0.272,0.176,0.043,,,,,,,1675.602,2.907,47.059,249.607,642.504
694,Madagascar,1980,,0.201,0.092,0.141,0.083,0.126,-0.275,-0.221,-2.149,-2.095,Electoral Autocracy,0.856,0.705,0.657,0.781,0.499,0.746,0.231,0.823,0.272,0.227,,,,,,,1439.517,1.547,18.218,0.0,12.495
695,Finland,1980,540364583.474053,0.819,0.772,0.569,0.695,0.763,-1.806,-1.178,-0.428,-0.426,Liberal Democracy,0.028,0.076,0.016,0.018,0.016,0.017,0.99,0.938,0.985,0.902,,,,,,,10459.672,20.638,11.564,0.0,161.508
696,Brazil,1980,,0.262,0.136,0.175,0.115,0.13,2.633,2.263,1.054,0.724,Closed Autocracy,0.634,0.508,0.639,0.674,0.557,0.499,0.313,0.789,0.283,0.288,,,,,,,88731.112,6.898,90.227,55.747,133.77
697,Saudi Arabia,1980,,0.013,0.037,0.015,0.036,0.108,-1.508,-0.83,-1.914,-2.945,Closed Autocracy,0.816,0.608,0.613,0.432,0.796,0.651,0.297,0.209,0.169,0.114,,,,,,,39220.819,36.654,4.169,35158.69,35158.69
698,Maldives,1980,,0.155,0.061,0.036,0.028,0.154,-1.318,-1.587,-2.211,-1.727,Closed Autocracy,0.94,0.515,0.833,0.764,0.831,0.496,0.116,0.702,0.275,0.093,,,,,,,43.697,2.581,23.76,,
699,Fiji,1980,,0.582,0.429,0.298,0.451,0.361,0.578,-0.999,-0.757,-1.49,Electoral Democracy,0.465,0.357,0.318,0.313,0.366,0.342,0.741,0.63,0.719,0.809,,,,,,,376.429,5.512,14.493,0.0,63.432
700,Dominican Republic,1980,,0.476,0.293,0.303,0.236,0.228,1.032,-1.003,0.039,-0.642,Electoral Autocracy,0.727,0.808,0.887,0.829,0.897,0.726,0.367,0.668,0.692,0.818,,,,,,,2917.176,4.724,21.664,0.0,159.567
701,Mali,1980,,0.128,0.111,0.09,0.061,0.148,0.705,-0.415,0.57,0.264,Closed Autocracy,0.803,0.815,0.854,0.711,0.888,0.48,0.341,0.8,0.583,0.43,,,,,,,549.983,0.77,,0.0,2.552
702,Ecuador,1980,,0.699,0.455,0.447,0.442,0.385,-0.113,-1.398,-1.145,-1.112,Electoral Democracy,0.525,0.557,0.515,0.592,0.374,0.366,0.487,0.794,0.464,0.888,,,,,,,5993.826,6.977,13.049,949.224,950.135
703,Bulgaria,1980,,0.179,0.059,0.097,0.04,0.26,1.389,-2.258,-0.97,-2.94,Closed Autocracy,0.612,0.096,0.169,0.317,0.285,0.906,0.306,0.054,0.262,0.075,,,,,,,8588.464,9.327,,298.233,394.372
704,Papua New Guinea,1980,,0.558,0.43,0.332,0.343,0.305,0.053,-1.247,-1.435,-1.229,Electoral Democracy,0.41,0.82,0.66,0.621,0.671,0.726,0.551,0.648,0.599,0.785,,,,,,,987.468,2.606,12.064,0.0,496.561
705,El Salvador,1980,,0.102,0.041,0.098,0.032,0.06,2.737,3.858,3.321,2.464,Closed Autocracy,0.895,0.84,0.856,0.772,0.848,0.606,0.124,0.112,0.019,0.079,,,,,,,953.225,2.103,17.359,0.0,0.0
706,Eswatini,1980,,0.133,0.107,0.129,0.052,0.071,1.588,-1.265,-1.09,-1.713,Closed Autocracy,0.604,0.465,0.468,0.425,0.598,0.709,0.366,0.14,0.486,0.187,,,,,,,239.65,3.732,18.684,25.307,25.307
707,Sweden,1980,,0.912,0.879,0.698,0.886,0.872,-2.36,-2.272,-0.523,-1.286,Liberal Democracy,0.013,0.025,0.003,0.004,0.004,0.004,0.995,0.957,0.973,0.977,,,,,,,21968.783,24.822,17.452,2.24,321.646
708,Switzerland,1980,,0.878,0.818,0.773,0.84,0.789,-2.304,-0.513,-0.166,-1.79,Liberal Democracy,0.02,0.066,0.012,0.023,0.011,0.018,0.993,0.819,0.99,0.947,,,,,,,21880.74,31.997,4.022,0.0,0.0
709,India,1980,,0.66,0.513,0.41,0.594,0.436,-0.211,1.014,0.135,0.321,Electoral Democracy,0.247,0.484,0.38,0.37,0.422,0.364,0.669,0.676,0.644,0.827,,,,,,,101791.965,1.396,11.365,22.638,27.746
710,Niger,1980,,0.092,0.087,0.062,0.046,0.148,-3.741,-1.571,-2.006,-0.499,Closed Autocracy,0.596,0.526,0.266,0.315,0.23,0.192,0.661,0.357,0.43,0.247,,,,,,,1013.687,1.553,10.305,0.281,1.907
711,Malaysia,1980,5168736503.40566,0.28,0.198,0.18,0.169,0.23,1.052,-0.407,-0.195,-0.014,Electoral Autocracy,0.499,0.614,0.297,0.342,0.357,0.454,0.643,0.708,0.651,0.253,,,,,,,10096.618,6.852,6.724,727.078,963.713
712,Egypt,1980,,0.178,0.124,0.078,0.146,0.112,-1.087,-0.924,-1.605,-1.857,Electoral Autocracy,0.568,0.66,0.687,0.711,0.704,0.781,0.388,0.663,0.685,0.266,,,,,,,10479.857,2.42,20.5,458.042,459.785
713,Malta,1980,,0.674,0.503,0.292,0.505,0.581,1.825,-0.154,0.839,-0.425,Electoral Democracy,0.354,0.463,0.338,0.25,0.434,0.241,0.735,0.737,0.951,0.764,,,,,,,358.924,9.983,15.75,,
714,Pakistan,1980,,0.108,0.058,0.045,0.092,0.071,-1.505,-0.266,-0.577,-0.246,Closed Autocracy,0.694,0.697,0.596,0.54,0.625,0.53,0.326,0.754,0.235,0.213,,,,,,,17834.989,2.076,11.938,19.729,19.753
715,Albania,1980,,0.174,0.059,0.049,0.053,0.229,1.901,-0.138,-2.573,-1.823,Closed Autocracy,0.582,0.154,0.063,0.059,0.082,0.052,0.505,0.004,0.026,0.02,,,,,,,1111.714,3.921,,871.856,1115.99
716,Paraguay,1980,,0.164,0.043,0.063,0.021,0.041,0.635,1.035,-1.253,0.204,Electoral Autocracy,0.966,0.954,0.976,0.959,0.978,0.937,0.033,0.197,0.097,0.043,,,,,,,1555.231,4.557,22.419,0.0,0.0
717,Philippines,1980,,0.167,0.06,0.131,0.098,0.069,-0.202,0.564,0.879,0.882,Electoral Autocracy,0.902,0.843,0.918,0.891,0.914,0.814,0.107,0.745,0.211,0.116,,,,,,,18487.744,3.595,18.201,10.448,91.246
718,Senegal,1980,,0.417,0.316,0.174,0.325,0.291,0.368,-0.244,0.253,-0.001,Electoral Autocracy,0.4,0.624,0.279,0.407,0.236,0.442,0.667,0.788,0.792,0.7,,,,,,,1310.809,2.162,8.729,0.0,0.0
719,Panama,1980,,0.135,0.082,0.125,0.12,0.163,0.362,-0.568,-1.035,-1.463,Closed Autocracy,0.812,0.719,0.649,0.71,0.577,0.654,0.256,0.686,0.276,0.151,,,,,,,1431.754,6.806,13.808,0.0,0.0
720,Peru,1980,,0.446,0.19,0.253,0.345,0.239,0.255,2.779,0.727,-0.724,Electoral Autocracy,0.608,0.407,0.35,0.442,0.289,0.442,0.374,0.742,0.294,0.722,,,,,,,9581.497,5.226,59.145,384.939,752.069
721,Argentina,1980,,0.071,0.051,0.111,0.049,0.123,2.218,1.282,-1.31,1.841,Closed Autocracy,0.65,0.273,0.514,0.374,0.575,0.339,0.2,0.779,0.021,0.03,,,,,,,24592.514,8.81,100.764,628.91,640.634
722,Sierra Leone,1980,,0.187,0.088,0.098,0.144,0.071,0.321,1.075,0.592,0.779,Electoral Autocracy,0.873,0.772,0.887,0.896,0.855,0.83,0.18,0.243,0.125,0.394,,,,,,,555.343,1.582,12.91,0.0,14.909
723,Oman,1980,,0.014,0.063,0.05,0.017,0.115,-2.914,-2.272,-2.396,-1.871,Closed Autocracy,0.704,0.598,0.305,0.379,0.289,0.377,0.522,0.429,0.657,0.092,,,,,,,1450.258,11.551,,8190.018,8190.018
724,Barbados,1980,,0.736,0.633,0.276,0.462,0.583,-2.988,-2.655,-1.621,-1.994,Electoral Democracy,0.134,0.358,0.104,0.092,0.125,0.075,0.928,0.823,0.913,0.872,,,,,,,364.089,13.387,14.43,0.0,0.0
725,Portugal,1980,,0.845,0.781,0.546,0.702,0.74,-1.668,0.18,0.797,-1.147,Liberal Democracy,0.08,0.106,0.099,0.114,0.093,0.132,0.945,0.928,0.973,0.98,,,,,,,12859.336,12.441,18.397,1.476,13.549
726,Romania,1980,,0.187,0.044,0.05,0.023,0.253,1.937,-1.505,-2.622,-2.567,Closed Autocracy,0.789,0.287,0.283,0.34,0.449,0.619,0.212,0.181,0.149,0.049,,,,,,,14554.265,6.153,1.523,728.448,754.349
727,Poland,1980,,0.214,0.145,0.087,0.08,0.255,1.903,-1.644,2.911,3.155,Closed Autocracy,0.509,0.455,0.151,0.197,0.177,0.33,0.645,0.555,0.234,0.311,,,,,,,30874.155,8.247,9.4,558.701,664.416
728,Algeria,1980,,0.195,0.11,0.043,0.148,0.214,-0.722,0.101,1.337,0.78,Closed Autocracy,0.732,0.405,0.535,0.595,0.489,0.498,0.357,0.364,0.679,0.207,,,,,,,20356.979,9.813,9.668,1924.011,1935.976
729,Seychelles,1980,,0.201,0.17,0.047,0.112,0.23,0.749,-0.898,-1.941,-0.962,Electoral Autocracy,0.557,0.563,0.432,0.486,0.376,0.32,0.505,0.478,0.447,0.192,,,,,,,75.42,10.793,13.572,,
730,Afghanistan,1980,,0.082,0.05,0.023,0.025,0.116,,,,,Closed Autocracy,0.809,0.724,0.521,0.553,0.499,0.547,0.227,0.115,0.24,0.085,,,,,,,2573.238,1.743,,17.982,17.982
731,Bangladesh,1980,,0.383,0.192,0.179,0.152,0.171,1.378,1.828,-0.801,-1.059,Electoral Autocracy,0.711,0.466,0.696,0.768,0.686,0.885,0.267,0.865,0.485,0.537,,,,,,,10264.334,1.164,,2.147,2.147
732,Singapore,1980,,0.347,0.284,0.09,0.254,0.318,-0.937,-2.437,-3.156,-2.672,Electoral Autocracy,0.189,0.219,0.009,0.009,0.011,0.003,0.971,0.714,0.907,0.375,,,,,,,3388.368,12.939,8.535,0.0,1297.316
733,Bahrain,1980,,0.049,,0.012,0.021,0.101,0.955,0.085,-1.064,-0.841,Closed Autocracy,,0.296,0.882,,0.883,0.458,0.197,0.745,0.425,0.177,,,,,,,772.08,19.511,3.87,5882.115,5882.115
734,Sierra Leone,1981,,0.178,0.085,0.096,0.142,0.069,0.321,1.075,0.592,0.779,Electoral Autocracy,0.873,0.772,0.887,0.896,0.855,0.83,0.18,0.243,0.125,0.386,,,,,,,571.961,1.589,23.37,0.0,12.997
735,Greece,1981,,0.831,0.738,0.545,0.661,0.714,0.707,0.319,1.245,1.385,Liberal Democracy,0.181,0.265,0.279,0.276,0.291,0.258,0.841,0.923,0.969,0.954,,,,,,,16535.049,15.886,24.321,247.602,311.473
