,country_name,year,FDI4,control_corrupcion,gobierno_eficacia,estabilidad_politica,calidad_regulatoria,estado_derecho,voz_rendicion,tiempo_negocios,hdi,v2x_polyarchy,v2cacamps,v2caviol,v2cagenmob,v2x_regime,v2x_corr,v2x_rule,v2xcl_prpty,e_gdp,e_miinflat,economic_freedom
75,Albania,1972,,,,,,,,,,0.173,1.901,0.3,-2.003,Closed Autocracy,0.05,0.525,0.004,819.911,,
76,Albania,1973,,,,,,,,,,0.173,1.901,0.3,-2.003,Closed Autocracy,0.05,0.525,0.004,855.508,,
77,Albania,1974,,,,,,,,,,0.173,1.901,0.3,-2.003,Closed Autocracy,0.05,0.525,0.004,888.544,,
78,Albania,1975,,,,,,,,,,0.174,1.901,0.3,-2.573,Closed Autocracy,0.05,0.525,0.004,925.601,,
79,Albania,1976,,,,,,,,,,0.174,1.901,-0.138,-2.573,Closed Autocracy,0.05,0.537,0.004,958.153,,
80,Albania,1977,,,,,,,,,,0.174,1.901,-0.138,-2.573,Closed Autocracy,0.059,0.505,0.004,986.805,,
81,Albania,1978,,,,,,,,,,0.174,1.901,-0.138,-2.573,Closed Autocracy,0.059,0.505,0.004,1016.176,,
82,Albania,1979,,,,,,,,,,0.174,1.901,-0.138,-2.573,Closed Autocracy,0.059,0.505,0.004,1053.187,,
83,Albania,1980,0.0,,,,,,,,,0.174,1.901,-0.138,-2.573,Closed Autocracy,0.059,0.505,0.004,1111.714,,
84,Albania,1981,0.0,,,,,,,,,0.174,1.901,-0.138,-2.573,Closed Autocracy,0.064,0.486,0.004,1152.619,,
85,Albania,1982,0.0,,,,,,,,,0.174,1.52,-0.138,-2.573,Closed Autocracy,0.064,0.486,0.004,1179.134,,
86,Albania,1983,0.0,,,,,,,,,0.174,1.52,-0.138,-2.573,Closed Autocracy,0.064,0.486,0.004,1211.11,,
87,Albania,1984,0.0,,,,,,,,,0.174,1.52,-0.138,-2.573,Closed Autocracy,0.071,0.483,0.004,1228.062,,
88,Albania,1985,0.0,,,,,,,,,0.174,1.52,-0.138,-1.849,Closed Autocracy,0.084,0.449,0.004,1251.502,,
89,Albania,1986,0.0,,,,,,,,,0.174,1.52,-0.138,-1.849,Closed Autocracy,0.084,0.469,0.004,1296.61,,
90,Albania,1987,0.0,,,,,,,,,0.173,1.52,-0.138,-1.849,Closed Autocracy,0.084,0.476,0.004,1323.156,,
91,Albania,1988,0.0,,,,,,,,,0.173,1.52,-0.138,-1.488,Closed Autocracy,0.084,0.476,0.004,1337.986,,
92,Albania,1989,0.0,,,,,,,,,0.173,1.52,0.313,-1.151,Closed Autocracy,0.088,0.47,0.004,1369.506,,
93,Albania,1990,0.0,,,,,,,,0.647,0.187,0.462,0.87,1.949,Closed Autocracy,0.126,0.42,0.004,1309.846,,
94,Albania,1991,0.0,,,,,,,,0.629,0.369,0.353,0.87,2.565,Electoral Autocracy,0.513,0.488,0.652,1090.16,,
95,Albania,1992,20000000.0,,,,,,,,0.614,0.418,-0.651,0.518,1.27,Electoral Autocracy,0.686,0.475,0.652,994.954,226.01,
96,Albania,1993,58000000.0,,,,,,,,0.617,0.416,-0.651,0.11,-1.875,Electoral Autocracy,0.595,0.497,0.652,1061.573,85.0,
97,Albania,1994,53000000.0,,,,,,,,0.624,0.412,-0.651,0.11,-1.875,Electoral Autocracy,0.687,0.497,0.652,1168.364,22.57,
98,Albania,1995,70000000.0,,,,,,,,0.634,0.426,-0.651,0.11,-1.411,Electoral Autocracy,0.687,0.497,0.747,1277.975,7.79,49.7
99,Albania,1996,90100000.0,-0.893903493881226,-0.68858790397644,-0.336625128984451,-0.474401652812958,-0.684481799602509,-0.648297846317291,,0.645,0.381,-0.517,0.856,-0.407,Electoral Autocracy,0.687,0.497,0.747,1367.839,12.73,53.8
100,Albania,1997,47500000.0,,,,,,,,0.642,0.369,0.753,2.826,2.404,Electoral Autocracy,0.71,0.469,0.747,1328.363,33.18,54.8
101,Albania,1998,45010000.0,-0.992024779319763,-0.732602536678314,-0.544004201889038,-0.441555827856064,-0.929671704769135,-0.387372851371765,,0.657,0.386,-0.823,2.099,1.605,Electoral Autocracy,0.752,0.452,0.747,1408.814,20.64,53.9
102,Albania,1999,41200000.0,,,,,,,,0.669,0.389,-0.993,0.486,-1.16,Electoral Autocracy,0.771,0.441,0.747,1537.67,0.39,53.4
103,Albania,2000,143000000.0,-0.855563640594482,-0.917780160903931,-0.539989590644836,-0.415910124778748,-1.02066767215729,-0.285138666629791,,0.677,0.401,-1.107,-0.709,-1.217,Electoral Autocracy,0.739,0.46,0.775,1639.473,0.05,53.6
104,Albania,2001,207300000.0,,,,,,,,0.684,0.433,-0.967,-0.709,-1.217,Electoral Autocracy,0.729,0.509,0.775,1757.529,3.11,56.6
105,Albania,2002,135000000.0,-0.8453409075737,-0.624333381652832,-0.297719180583954,-0.311400771141052,-0.762321412563324,-0.00815020967274904,,0.689,0.477,-1.095,-0.709,-1.217,Electoral Autocracy,0.745,0.497,0.775,1826.281,7.77,56.8
106,Albania,2003,178036400.666667,-0.853786587715149,-0.569067299365997,-0.309780240058899,-0.490216553211212,-0.716323494911194,0.0703076869249344,41.0,0.696,0.482,-1.095,-0.709,-1.217,Electoral Autocracy,0.745,0.493,0.775,1927.698,0.48,56.8
107,Albania,2004,341285112.537562,-0.723731815814972,-0.409061759710312,-0.427259683609009,-0.187491565942764,-0.701032340526581,0.00723749911412597,40.0,0.7,0.474,-1.095,-0.709,-1.217,Electoral Autocracy,0.745,0.503,0.775,2028.768,2.28,58.5
108,Albania,2005,262479012.637464,-0.813263893127441,-0.704830586910248,-0.505047976970673,-0.400731235742569,-0.763833165168762,0.0036717876791954,41.0,0.711,0.505,-1.095,-0.709,-1.217,Electoral Democracy,0.727,0.522,0.775,2140.925,2.37,57.8
109,Albania,2006,325138316.803697,-0.790545284748077,-0.586620807647705,-0.508157312870026,-0.14859938621521,-0.703135848045349,0.0758899599313736,39.0,0.718,0.536,-1.095,-0.709,-1.217,Electoral Democracy,0.727,0.522,0.775,2276.541,2.37,60.3
110,Albania,2007,652275603.722803,-0.706940054893494,-0.431428492069244,-0.203974649310112,0.0345503017306328,-0.661545991897583,0.113008469343185,37.0,0.73,0.54,-1.095,-0.709,-1.217,Electoral Democracy,0.727,0.522,0.775,2434.217,2.93,61.4
111,Albania,2008,1247181714.30558,-0.605212390422821,-0.370871335268021,-0.0305009130388498,0.137666508555412,-0.600079298019409,0.174939081072807,10.0,0.736,0.538,-1.387,-0.709,-1.217,Electoral Democracy,0.765,0.487,0.775,2605.382,3.4,62.3518565
112,Albania,2009,1345415233.65619,-0.545270919799805,-0.254886448383331,-0.0451405122876167,0.241446003317833,-0.49437016248703,0.141477331519127,6.0,0.741,0.534,-1.237,-0.404,-0.984,Electoral Democracy,0.765,0.502,0.775,2728.857,2.3,63.68600533
113,Albania,2010,1089898207.57431,-0.531616508960724,-0.278687119483948,-0.191482901573181,0.233281955122948,-0.385760486125946,0.123838223516941,6.0,0.754,0.535,-1.381,-0.701,-1.208,Electoral Democracy,0.779,0.498,0.775,2830.629,3.5,66.0
114,Albania,2011,1048706682.05458,-0.701794147491455,-0.200375154614449,-0.282379418611526,0.283972561359406,-0.442926466464996,0.0623337626457214,6.0,0.766,0.535,-1.381,-0.235,-0.114,Electoral Democracy,0.779,0.498,0.775,2902.384,,64.0
115,Albania,2012,917994575.801857,-0.778729438781738,-0.267875999212265,-0.143631592392921,0.240491986274719,-0.519839763641357,0.0220640376210213,5.0,0.778,0.53,-1.216,-0.128,-0.75,Electoral Democracy,0.776,0.504,0.775,2947.073,,65.1
116,Albania,2013,1254150555.51294,-0.750955939292908,-0.323595732450485,0.0919297859072685,0.25416025519371,-0.518606007099152,0.0488925911486149,5.0,0.785,0.508,-1.387,-0.128,-0.997,Electoral Democracy,0.771,0.515,0.786,2984.751,,65.2
117,Albania,2014,1149927985.77736,-0.586141347885132,-0.04880241304636,0.485986232757568,0.279037684202194,-0.310979843139648,0.143777400255203,5.0,0.792,0.509,-1.387,-0.699,-1.202,Electoral Democracy,0.781,0.525,0.786,3039.766,,66.9
118,Albania,2015,989578334.828615,-0.520959854125977,0.0592881888151169,0.346129059791565,0.189514964818954,-0.298862904310226,0.157161772251129,5.0,0.795,0.509,-1.387,-0.699,-1.202,Electoral Democracy,0.781,0.525,0.786,3127.926,,65.7
119,Albania,2016,1044389554.85795,-0.44898048043251,0.0597151108086109,0.344644665718079,0.196168705821037,-0.304018437862396,0.170948684215546,5.0,0.798,0.51,-1.536,-0.153,-0.79,Electoral Democracy,0.781,0.525,0.786,3210.888,,65.9
120,Albania,2017,1022757857.07377,-0.458256989717484,0.128729850053787,0.378474771976471,0.233086720108986,-0.395079284906387,0.203805893659592,5.0,0.802,0.52,-1.387,-0.153,0.127,Electoral Democracy,0.78,0.511,0.786,3332.72,,64.4
121,Albania,2018,1204383363.60476,-0.524145126342773,0.110513411462307,0.370515644550323,0.266459137201309,-0.395619302988052,0.180729448795319,4.5,0.806,0.498,-1.387,-0.153,-0.167,Electoral Autocracy,0.764,0.516,0.786,3442.807,,64.5
122,Albania,2019,1201022154.46643,-0.543374061584473,-0.033333245664835,0.111168630421162,0.285658627748489,-0.402843326330185,0.142711371183395,4.5,0.81,0.486,-1.244,-0.036,0.374,Electoral Autocracy,0.724,0.543,0.786,3489.639,,66.5
123,Albania,2020,1069744879.65453,-0.551931083202362,-0.124956652522087,0.0875523090362549,0.235864624381065,-0.349165230989456,0.0883624628186226,,0.794,0.493,-0.514,-0.119,-0.356,Electoral Autocracy,0.724,0.532,0.845,,,66.9
124,Albania,2021,1218586452.37158,-0.5559241771698,-0.00336363865062594,0.109445847570896,0.1927540153265,-0.256100863218308,0.091204971075058,,0.796,0.489,0.076,-0.365,-0.008,Electoral Autocracy,0.657,0.595,0.845,,,65.2
125,Albania,2022,1441381891.41694,,,,,,,,,0.484,-0.021,-0.365,0.295,Electoral Autocracy,0.586,0.618,0.817,,,66.6
126,Algeria,1960,,,,,,,,,,0.075,-0.293,3.086,3.823,Closed Autocracy,0.281,0.325,0.032,5766.155,5.385,
127,Algeria,1961,,,,,,,,,,0.075,-0.293,3.086,3.823,Closed Autocracy,0.281,0.325,0.032,5692.934,2.92,
128,Algeria,1962,,,,,,,,,,0.077,-0.293,3.086,3.823,Electoral Autocracy,0.294,0.359,0.049,5168.619,3.445,
129,Algeria,1963,,,,,,,,,,0.191,-1.014,0.718,1.16,Electoral Autocracy,0.401,0.444,0.364,5672.428,3.971,
130,Algeria,1964,,,,,,,,,,0.186,-0.722,0.421,-0.473,Electoral Autocracy,0.401,0.456,0.364,6109.636,4.497,
131,Algeria,1965,,,,,,,,,,0.131,-0.722,-0.132,-0.473,Electoral Autocracy,0.243,0.471,0.364,6432.335,5.023,
132,Algeria,1966,,,,,,,,,,0.084,-0.722,-1.074,-1.392,Closed Autocracy,0.321,0.471,0.364,6433.045,5.548,
133,Algeria,1967,,,,,,,,,,0.084,-0.722,-1.074,-1.256,Closed Autocracy,0.321,0.471,0.364,6980.198,6.074,
134,Algeria,1968,,,,,,,,,,0.084,-0.722,-1.074,-1.256,Closed Autocracy,0.321,0.471,0.364,7587.645,6.6,
135,Algeria,1969,,,,,,,,,,0.084,-0.722,-1.074,-1.256,Closed Autocracy,0.321,0.471,0.364,8291.821,2.627,
136,Algeria,1970,80120000.0,,,,,,,,,0.084,-0.722,-0.944,-1.256,Closed Autocracy,0.321,0.471,0.364,9092.926,3.656,
137,Algeria,1971,600000.0,,,,,,,,,0.084,-0.722,-0.944,-1.256,Closed Autocracy,0.321,0.471,0.364,9305.349,6.173,
138,Algeria,1972,41490000.0,,,,,,,,,0.084,-0.722,-0.944,-1.256,Closed Autocracy,0.321,0.471,0.364,10437.447,4.734,
139,Algeria,1973,51000000.0,,,,,,,,,0.084,-0.722,-0.944,-1.256,Closed Autocracy,0.321,0.471,0.364,11463.769,8.961,
140,Algeria,1974,358000000.0,,,,,,,,,0.084,-0.722,-0.944,-1.256,Closed Autocracy,0.321,0.471,0.364,12947.163,8.879,
141,Algeria,1975,119000000.0,,,,,,,,,0.084,-0.722,-0.944,-1.256,Closed Autocracy,0.321,0.471,0.364,13820.458,12.099,
142,Algeria,1976,187000000.0,,,,,,,,,0.087,-0.722,-0.592,-1.256,Closed Autocracy,0.321,0.471,0.364,14812.046,17.174,
143,Algeria,1977,178452646.789187,,,,,,,,,0.188,-0.722,-0.592,-0.685,Closed Autocracy,0.321,0.471,0.364,16122.809,11.45,
144,Algeria,1978,135152172.302668,,,,,,,,,0.193,-0.722,-0.93,-1.237,Closed Autocracy,0.464,0.432,0.364,17646.409,9.668,
145,Algeria,1979,25692486.0358378,,,,,,,,,0.195,-0.722,-0.93,-0.697,Closed Autocracy,0.549,0.388,0.364,19172.943,14.61,
146,Algeria,1980,348669038.123928,,,,,,,,,0.195,-0.722,0.101,1.337,Closed Autocracy,0.595,0.357,0.364,20356.979,9.668,
147,Algeria,1981,13207259.3615813,,,,,,,,,0.195,-0.722,-0.716,-0.122,Closed Autocracy,0.595,0.357,0.364,21437.323,14.61,
148,Algeria,1982,-53569192.6448124,,,,,,,,,0.203,-0.722,-0.716,-0.122,Closed Autocracy,0.595,0.357,0.364,22431.126,6.593,
149,Algeria,1983,417641.162800209,,,,,,,,,0.205,-0.722,-0.716,-0.122,Closed Autocracy,0.595,0.357,0.364,23575.206,7.835,
150,Algeria,1984,802668.874073183,,,,,,,,,0.207,-0.722,-0.716,-0.122,Closed Autocracy,0.595,0.357,0.364,24396.346,6.31,
151,Algeria,1985,397788.2970683,,,,,,,,,0.207,-0.722,-0.716,-0.122,Closed Autocracy,0.595,0.357,0.364,25044.184,10.432,
152,Algeria,1986,5316528.3778563,,,,,,,,,0.207,-0.722,-0.424,0.214,Closed Autocracy,0.595,0.357,0.364,24150.818,14.007,
153,Algeria,1987,3711537.89978504,,,,,,,,,0.206,-1.018,-0.424,0.214,Closed Autocracy,0.595,0.357,0.364,23566.265,5.857,
154,Algeria,1988,13018265.0203164,,,,,,,,,0.206,-0.865,0.564,3.463,Closed Autocracy,0.595,0.379,0.364,22997.457,5.938,
155,Algeria,1989,12091646.7968636,,,,,,,,,0.223,-1.008,0.439,2.915,Closed Autocracy,0.544,0.386,0.678,23176.998,9.172,
156,Algeria,1990,334914.564224985,,,,,,,,0.591,0.351,-0.956,1.234,3.287,Closed Autocracy,0.544,0.39,0.678,23486.325,9.272,
157,Algeria,1991,11638686.4524336,,,,,,,,0.594,0.351,-0.801,1.38,3.287,Closed Autocracy,0.544,0.356,0.678,23530.312,25.9,
158,Algeria,1992,30000000.0,,,,,,,,0.599,0.192,-0.693,3.137,2.09,Closed Autocracy,0.512,0.336,0.678,23726.588,31.7,
159,Algeria,1993,1000.0,,,,,,,,0.601,0.173,-0.602,3.137,1.626,Closed Autocracy,0.577,0.317,0.678,23303.524,20.5,
160,Algeria,1994,1000.0,,,,,,,,0.602,0.179,-0.697,3.137,1.626,Closed Autocracy,0.59,0.317,0.678,23255.804,29.0,
161,Algeria,1995,1000.0,,,,,,,,0.606,0.186,-0.697,3.137,1.626,Electoral Autocracy,0.596,0.317,0.678,23995.171,29.8,55.7
162,Algeria,1996,270000000.0,-0.566740930080414,-1.08876645565033,-1.78331053256989,-0.907437264919281,-1.21819484233856,-1.16629016399384,,0.617,0.331,-0.697,2.616,1.734,Electoral Autocracy,0.596,0.317,0.678,24928.903,18.7,54.5
